,Layer,duration_time,timestamp,packet_length,payload_length
0,TCP,2020-04-03 14:50:21.039689,1585905621.039689,282,3
1,TCP,2020-04-03 14:50:21.040426,1585905621.040426,16450,101
2,TCP,2020-04-03 14:50:21.040466,1585905621.040466,66,101
3,TCP,2020-04-03 14:50:21.040741,1585905621.040741,16450,218
4,TCP,2020-04-03 14:50:21.040772,1585905621.040772,66,218
5,TCP,2020-04-03 14:50:21.041058,1585905621.041058,16450,125
6,TCP,2020-04-03 14:50:21.041082,1585905621.041082,66,125
7,TCP,2020-04-03 14:50:21.041110,1585905621.04111,357,167
8,TCP,2020-04-03 14:50:21.041118,1585905621.041118,66,167
9,TCP,2020-04-03 14:50:21.043506,1585905621.043506,282,3
10,TCP,2020-04-03 14:50:21.044092,1585905621.044092,16450,101
11,TCP,2020-04-03 14:50:21.044409,1585905621.044409,16450,218
12,TCP,2020-04-03 14:50:21.044702,1585905621.044702,16450,125
13,TCP,2020-04-03 14:50:21.044771,1585905621.044771,66,125
14,TCP,2020-04-03 14:50:21.044781,1585905621.044781,357,167
15,TCP,2020-04-03 14:50:21.047387,1585905621.047387,282,3
16,TCP,2020-04-03 14:50:21.048005,1585905621.048005,16450,101
17,TCP,2020-04-03 14:50:21.048325,1585905621.048325,16450,218
18,TCP,2020-04-03 14:50:21.048670,1585905621.04867,16450,125
19,TCP,2020-04-03 14:50:21.048743,1585905621.048743,66,125
20,TCP,2020-04-03 14:50:21.048752,1585905621.048752,357,167
21,TCP,2020-04-03 14:50:21.051259,1585905621.051259,282,3
22,TCP,2020-04-03 14:50:21.051849,1585905621.051849,16450,101
23,TCP,2020-04-03 14:50:21.052163,1585905621.052163,16450,218
24,TCP,2020-04-03 14:50:21.052224,1585905621.052224,66,218
25,TCP,2020-04-03 14:50:21.052469,1585905621.052469,16450,125
26,TCP,2020-04-03 14:50:21.052509,1585905621.052509,357,167
27,TCP,2020-04-03 14:50:21.052532,1585905621.052532,66,167
28,TCP,2020-04-03 14:50:21.054994,1585905621.054994,282,3
29,TCP,2020-04-03 14:50:21.055584,1585905621.055584,16450,101
30,TCP,2020-04-03 14:50:21.055882,1585905621.055882,16450,218
31,TCP,2020-04-03 14:50:21.055936,1585905621.055936,66,218
32,TCP,2020-04-03 14:50:21.056186,1585905621.056186,16450,125
33,TCP,2020-04-03 14:50:21.056227,1585905621.056227,357,167
34,TCP,2020-04-03 14:50:21.056255,1585905621.056255,66,167
35,TCP,2020-04-03 14:50:21.058589,1585905621.058589,282,3
36,TCP,2020-04-03 14:50:21.059233,1585905621.059233,16450,101
37,TCP,2020-04-03 14:50:21.059554,1585905621.059554,16450,218
38,TCP,2020-04-03 14:50:21.059611,1585905621.059611,66,218
39,TCP,2020-04-03 14:50:21.059846,1585905621.059846,16450,125
40,TCP,2020-04-03 14:50:21.059891,1585905621.059891,357,167
41,TCP,2020-04-03 14:50:21.059912,1585905621.059912,66,167
42,TCP,2020-04-03 14:50:21.062246,1585905621.062246,282,3
43,TCP,2020-04-03 14:50:21.062886,1585905621.062886,16450,101
44,TCP,2020-04-03 14:50:21.063199,1585905621.063199,16450,218
45,TCP,2020-04-03 14:50:21.063257,1585905621.063257,66,218
46,TCP,2020-04-03 14:50:21.063506,1585905621.063506,16450,125
47,TCP,2020-04-03 14:50:21.063554,1585905621.063554,357,167
48,TCP,2020-04-03 14:50:21.063570,1585905621.06357,66,167
49,TCP,2020-04-03 14:50:21.067902,1585905621.067902,282,3
50,TCP,2020-04-03 14:50:21.068546,1585905621.068546,16450,101
51,TCP,2020-04-03 14:50:21.068855,1585905621.068855,16450,218
52,TCP,2020-04-03 14:50:21.068906,1585905621.068906,66,218
53,TCP,2020-04-03 14:50:21.069165,1585905621.069165,16450,125
54,TCP,2020-04-03 14:50:21.069210,1585905621.06921,357,167
55,TCP,2020-04-03 14:50:21.069233,1585905621.069233,66,167
56,TCP,2020-04-03 14:50:21.072328,1585905621.072328,282,3
57,TCP,2020-04-03 14:50:21.072918,1585905621.072918,16450,101
58,TCP,2020-04-03 14:50:21.073231,1585905621.073231,16450,218
59,TCP,2020-04-03 14:50:21.073261,1585905621.073261,66,218
60,TCP,2020-04-03 14:50:21.073562,1585905621.073562,16450,125
61,TCP,2020-04-03 14:50:21.073612,1585905621.073612,357,167
62,TCP,2020-04-03 14:50:21.073620,1585905621.07362,66,167
63,TCP,2020-04-03 14:50:22.196091,1585905622.196091,367,3
64,TCP,2020-04-03 14:50:22.196415,1585905622.196415,2631,1
65,TCP,2020-04-03 14:50:22.235995,1585905622.235995,66,1
66,TCP,2020-04-03 14:50:22.237185,1585905622.237185,367,3
67,TCP,2020-04-03 14:50:22.237515,1585905622.237515,2631,1
68,TCP,2020-04-03 14:50:22.237549,1585905622.237549,66,1
69,TCP,2020-04-03 14:50:22.278258,1585905622.278258,367,3
70,TCP,2020-04-03 14:50:22.278594,1585905622.278594,2631,1
71,TCP,2020-04-03 14:50:22.278628,1585905622.278628,66,1
72,TCP,2020-04-03 14:50:22.319296,1585905622.319296,367,3
73,TCP,2020-04-03 14:50:22.319610,1585905622.31961,2631,1
74,TCP,2020-04-03 14:50:22.319643,1585905622.319643,66,1
75,TCP,2020-04-03 14:50:24.041407,1585905624.041407,282,3
76,TCP,2020-04-03 14:50:24.042176,1585905624.042176,16450,101
77,TCP,2020-04-03 14:50:24.042350,1585905624.04235,66,101
78,TCP,2020-04-03 14:50:24.042490,1585905624.04249,16450,218
79,TCP,2020-04-03 14:50:24.042500,1585905624.0425,66,218
80,TCP,2020-04-03 14:50:24.042801,1585905624.042801,16450,125
81,TCP,2020-04-03 14:50:24.042851,1585905624.042851,357,167
82,TCP,2020-04-03 14:50:24.042850,1585905624.04285,66,167
83,TCP,2020-04-03 14:50:24.042860,1585905624.04286,66,167
84,TCP,2020-04-03 14:50:24.045359,1585905624.045359,282,3
85,TCP,2020-04-03 14:50:24.045916,1585905624.045916,16450,101
86,TCP,2020-04-03 14:50:24.046233,1585905624.046233,16450,218
87,TCP,2020-04-03 14:50:24.046268,1585905624.046268,66,218
88,TCP,2020-04-03 14:50:24.046529,1585905624.046529,16450,125
89,TCP,2020-04-03 14:50:24.046578,1585905624.046578,357,167
90,TCP,2020-04-03 14:50:24.046586,1585905624.046586,66,167
91,TCP,2020-04-03 14:50:24.049046,1585905624.049046,282,3
92,TCP,2020-04-03 14:50:24.049616,1585905624.049616,16450,101
93,TCP,2020-04-03 14:50:24.049919,1585905624.049919,16450,218
94,TCP,2020-04-03 14:50:24.049954,1585905624.049954,66,218
95,TCP,2020-04-03 14:50:24.050228,1585905624.050228,16450,125
96,TCP,2020-04-03 14:50:24.050278,1585905624.050278,357,167
97,TCP,2020-04-03 14:50:24.050286,1585905624.050286,66,167
98,TCP,2020-04-03 14:50:24.052671,1585905624.052671,282,3
99,TCP,2020-04-03 14:50:24.053236,1585905624.053236,16450,101
100,TCP,2020-04-03 14:50:24.053547,1585905624.053547,16450,218
101,TCP,2020-04-03 14:50:24.053579,1585905624.053579,66,218
102,TCP,2020-04-03 14:50:24.053846,1585905624.053846,16450,125
103,TCP,2020-04-03 14:50:24.053895,1585905624.053895,357,167
104,TCP,2020-04-03 14:50:24.053902,1585905624.053902,66,167
105,TCP,2020-04-03 14:50:24.056384,1585905624.056384,282,3
106,TCP,2020-04-03 14:50:24.057000,1585905624.057,16450,101
107,TCP,2020-04-03 14:50:24.057302,1585905624.057302,16450,218
108,TCP,2020-04-03 14:50:24.057329,1585905624.057329,66,218
109,TCP,2020-04-03 14:50:24.057621,1585905624.057621,16450,125
110,TCP,2020-04-03 14:50:24.057667,1585905624.057667,357,167
111,TCP,2020-04-03 14:50:24.057674,1585905624.057674,66,167
112,TCP,2020-04-03 14:50:24.059908,1585905624.059908,282,3
113,TCP,2020-04-03 14:50:24.060482,1585905624.060482,16450,101
114,TCP,2020-04-03 14:50:24.060802,1585905624.060802,16450,218
115,TCP,2020-04-03 14:50:24.060830,1585905624.06083,66,218
116,TCP,2020-04-03 14:50:24.061105,1585905624.061105,16450,125
117,TCP,2020-04-03 14:50:24.061149,1585905624.061149,357,167
118,TCP,2020-04-03 14:50:24.061155,1585905624.061155,66,167
119,TCP,2020-04-03 14:50:24.063459,1585905624.063459,282,3
120,TCP,2020-04-03 14:50:24.064049,1585905624.064049,16450,101
121,TCP,2020-04-03 14:50:24.064350,1585905624.06435,16450,218
122,TCP,2020-04-03 14:50:24.064377,1585905624.064377,66,218
123,TCP,2020-04-03 14:50:24.064653,1585905624.064653,16450,125
124,TCP,2020-04-03 14:50:24.064700,1585905624.0647,357,167
125,TCP,2020-04-03 14:50:24.064707,1585905624.064707,66,167
126,TCP,2020-04-03 14:50:24.068886,1585905624.068886,282,3
127,TCP,2020-04-03 14:50:24.069480,1585905624.06948,16450,101
128,TCP,2020-04-03 14:50:24.069779,1585905624.069779,16450,218
129,TCP,2020-04-03 14:50:24.069835,1585905624.069835,66,218
130,TCP,2020-04-03 14:50:24.070105,1585905624.070105,16450,125
131,TCP,2020-04-03 14:50:24.070149,1585905624.070149,357,167
132,TCP,2020-04-03 14:50:24.070171,1585905624.070171,66,167
133,TCP,2020-04-03 14:50:24.073372,1585905624.073372,282,3
134,TCP,2020-04-03 14:50:24.073930,1585905624.07393,16450,101
135,TCP,2020-04-03 14:50:24.074257,1585905624.074257,16450,218
136,TCP,2020-04-03 14:50:24.074289,1585905624.074289,66,218
137,TCP,2020-04-03 14:50:24.074548,1585905624.074548,16450,125
138,TCP,2020-04-03 14:50:24.074592,1585905624.074592,357,167
139,TCP,2020-04-03 14:50:24.074598,1585905624.074598,66,167
140,TCP,2020-04-03 14:50:25.393104,1585905625.393104,367,3
141,TCP,2020-04-03 14:50:25.393418,1585905625.393418,2631,1
142,TCP,2020-04-03 14:50:25.433725,1585905625.433725,367,3
143,TCP,2020-04-03 14:50:25.434024,1585905625.434024,2631,1
144,TCP,2020-04-03 14:50:25.473904,1585905625.473904,367,3
145,TCP,2020-04-03 14:50:25.474267,1585905625.474267,2631,1
146,TCP,2020-04-03 14:50:25.513988,1585905625.513988,66,1
147,TCP,2020-04-03 14:50:25.523704,1585905625.523704,367,3
148,TCP,2020-04-03 14:50:25.524068,1585905625.524068,2631,1
149,TCP,2020-04-03 14:50:25.524102,1585905625.524102,66,1
150,TCP,2020-04-03 14:50:26.680703,1585905626.680703,66,1
151,TCP,2020-04-03 14:50:26.680800,1585905626.6808,66,1
152,TCP,2020-04-03 14:50:26.680811,1585905626.680811,66,1
153,TCP,2020-04-03 14:50:27.046564,1585905627.046564,282,3
154,TCP,2020-04-03 14:50:27.047357,1585905627.047357,16450,101
155,TCP,2020-04-03 14:50:27.047388,1585905627.047388,66,101
156,TCP,2020-04-03 14:50:27.047672,1585905627.047672,16450,218
157,TCP,2020-04-03 14:50:27.047709,1585905627.047709,66,218
158,TCP,2020-04-03 14:50:27.048059,1585905627.048059,16450,125
159,TCP,2020-04-03 14:50:27.048087,1585905627.048087,66,125
160,TCP,2020-04-03 14:50:27.048113,1585905627.048113,357,167
161,TCP,2020-04-03 14:50:27.048120,1585905627.04812,66,167
162,TCP,2020-04-03 14:50:27.050504,1585905627.050504,282,3
163,TCP,2020-04-03 14:50:27.051106,1585905627.051106,16450,101
164,TCP,2020-04-03 14:50:27.051473,1585905627.051473,16450,218
165,TCP,2020-04-03 14:50:27.051506,1585905627.051506,66,218
166,TCP,2020-04-03 14:50:27.051784,1585905627.051784,16450,125
167,TCP,2020-04-03 14:50:27.051831,1585905627.051831,357,167
168,TCP,2020-04-03 14:50:27.051838,1585905627.051838,66,167
169,TCP,2020-04-03 14:50:27.054220,1585905627.05422,282,3
170,TCP,2020-04-03 14:50:27.054813,1585905627.054813,16450,101
171,TCP,2020-04-03 14:50:27.055154,1585905627.055154,16450,218
172,TCP,2020-04-03 14:50:27.055186,1585905627.055186,66,218
173,TCP,2020-04-03 14:50:27.055452,1585905627.055452,16450,125
174,TCP,2020-04-03 14:50:27.055497,1585905627.055497,357,167
175,TCP,2020-04-03 14:50:27.055504,1585905627.055504,66,167
176,TCP,2020-04-03 14:50:27.057906,1585905627.057906,282,3
177,TCP,2020-04-03 14:50:27.058485,1585905627.058485,16450,101
178,TCP,2020-04-03 14:50:27.058791,1585905627.058791,16450,218
179,TCP,2020-04-03 14:50:27.058822,1585905627.058822,66,218
180,TCP,2020-04-03 14:50:27.059128,1585905627.059128,16450,125
181,TCP,2020-04-03 14:50:27.059174,1585905627.059174,357,167
182,TCP,2020-04-03 14:50:27.059181,1585905627.059181,66,167
183,TCP,2020-04-03 14:50:27.061542,1585905627.061542,282,3
184,TCP,2020-04-03 14:50:27.062114,1585905627.062114,16450,101
185,TCP,2020-04-03 14:50:27.062461,1585905627.062461,16450,218
186,TCP,2020-04-03 14:50:27.062489,1585905627.062489,66,218
187,TCP,2020-04-03 14:50:27.062756,1585905627.062756,16450,125
188,TCP,2020-04-03 14:50:27.062800,1585905627.0628,357,167
189,TCP,2020-04-03 14:50:27.062807,1585905627.062807,66,167
190,TCP,2020-04-03 14:50:27.065077,1585905627.065077,282,3
191,TCP,2020-04-03 14:50:27.065661,1585905627.065661,16450,101
192,TCP,2020-04-03 14:50:27.066005,1585905627.066005,16450,218
193,TCP,2020-04-03 14:50:27.066035,1585905627.066035,66,218
194,TCP,2020-04-03 14:50:27.066315,1585905627.066315,16450,125
195,TCP,2020-04-03 14:50:27.066361,1585905627.066361,357,167
196,TCP,2020-04-03 14:50:27.066367,1585905627.066367,66,167
197,TCP,2020-04-03 14:50:27.068691,1585905627.068691,282,3
198,TCP,2020-04-03 14:50:27.069285,1585905627.069285,16450,101
199,TCP,2020-04-03 14:50:27.069604,1585905627.069604,16450,218
200,TCP,2020-04-03 14:50:27.069633,1585905627.069633,66,218
201,TCP,2020-04-03 14:50:27.069919,1585905627.069919,16450,125
202,TCP,2020-04-03 14:50:27.069976,1585905627.069976,357,167
203,TCP,2020-04-03 14:50:27.069982,1585905627.069982,66,167
204,TCP,2020-04-03 14:50:27.074356,1585905627.074356,282,3
205,TCP,2020-04-03 14:50:27.074972,1585905627.074972,16450,101
206,TCP,2020-04-03 14:50:27.075361,1585905627.075361,16450,218
207,TCP,2020-04-03 14:50:27.075390,1585905627.07539,66,218
208,TCP,2020-04-03 14:50:27.075652,1585905627.075652,16450,125
209,TCP,2020-04-03 14:50:27.075698,1585905627.075698,357,167
210,TCP,2020-04-03 14:50:27.075709,1585905627.075709,66,167
211,TCP,2020-04-03 14:50:27.078800,1585905627.0788,282,3
212,TCP,2020-04-03 14:50:27.079435,1585905627.079435,16450,101
213,TCP,2020-04-03 14:50:27.079738,1585905627.079738,16450,218
214,TCP,2020-04-03 14:50:27.079768,1585905627.079768,66,218
215,TCP,2020-04-03 14:50:27.080043,1585905627.080043,16450,125
216,TCP,2020-04-03 14:50:27.080086,1585905627.080086,357,167
217,TCP,2020-04-03 14:50:27.080092,1585905627.080092,66,167
218,TCP,2020-04-03 14:50:28.601287,1585905628.601287,367,3
219,TCP,2020-04-03 14:50:28.601641,1585905628.601641,2631,1
220,TCP,2020-04-03 14:50:28.640908,1585905628.640908,367,3
221,TCP,2020-04-03 14:50:28.641215,1585905628.641215,2631,1
222,TCP,2020-04-03 14:50:28.679134,1585905628.679134,367,3
223,TCP,2020-04-03 14:50:28.679387,1585905628.679387,2631,1
224,TCP,2020-04-03 14:50:28.718984,1585905628.718984,66,1
225,TCP,2020-04-03 14:50:28.720267,1585905628.720267,367,3
226,TCP,2020-04-03 14:50:28.720539,1585905628.720539,2631,1
227,TCP,2020-04-03 14:50:28.720579,1585905628.720579,66,1
228,TCP,2020-04-03 14:50:30.040653,1585905630.040653,282,3
229,TCP,2020-04-03 14:50:30.041397,1585905630.041397,16450,101
